Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:58,-3,0,3,0,2,109,31,10,6,5
Flight2, DOMESTIC, 04:10,-2,0,2,0,7,116,36,19,6,9
Flight3, DOMESTIC, 04:34,-6,0,6,0,3,133,30,22,9,9
Flight4, DOMESTIC, 04:46,-7,0,7,0,9,58,32,10,8,9
Flight5, DOMESTIC, 04:27,-6,0,6,0,8,139,46,16,6,7
Flight6, DOMESTIC, 04:34,-4,0,4,0,6,94,32,22,4,3
Flight7, DOMESTIC, 04:40,-3,0,3,0,4,124,34,10,9,7
Flight8, DOMESTIC, 04:15,-9,0,9,0,9,97,49,8,1,9
Flight9, DOMESTIC, 04:12,-5,0,5,0,5,71,47,24,7,7
Flight10, DOMESTIC, 04:54,-4,0,4,0,6,111,48,19,5,9
Flight11, DOMESTIC, 04:23,-1,0,1,0,7,147,25,9,5,3
Flight12, DOMESTIC, 04:21,-4,0,4,0,6,99,45,21,5,3
Flight13, DOMESTIC, 04:10,-3,0,3,0,4,54,42,10,2,8
Flight14, DOMESTIC, 04:06,-5,0,5,0,7,130,43,21,6,1
Flight15, DOMESTIC, 04:08,-7,0,7,0,4,50,45,9,1,7
Flight16, DOMESTIC, 04:45,-7,0,7,0,9,58,42,23,9,3
Flight17, DOMESTIC, 04:22,-3,0,3,0,3,146,47,24,4,1
Flight18, DOMESTIC, 04:31,-7,0,7,0,5,65,45,22,1,9
Flight19, DOMESTIC, 04:22,-9,0,9,0,5,118,45,21,2,1
Flight20, DOMESTIC, 04:02,-6,0,6,0,2,130,45,8,2,5
Flight21, DOMESTIC, 04:48,-3,0,3,0,7,137,35,18,9,5
Flight22, DOMESTIC, 04:01,-5,0,5,0,8,62,30,12,8,3
Flight23, DOMESTIC, 04:17,-2,0,2,0,7,99,46,10,7,1
Flight24, DOMESTIC, 04:11,-9,0,9,0,3,73,32,9,8,4
Flight25, DOMESTIC, 04:18,-2,0,2,0,8,143,30,24,4,9
Flight26, DOMESTIC, 04:10,-6,0,6,0,5,104,30,9,8,3
Flight27, DOMESTIC, 04:12,-6,0,6,0,8,61,46,9,8,5
Flight28, DOMESTIC, 04:25,-9,0,9,0,1,129,49,20,4,5
Flight29, DOMESTIC, 04:16,-2,0,2,0,8,86,37,13,3,5
Flight30, DOMESTIC, 04:19,-3,0,3,0,2,74,25,8,3,9
Flight31, DOMESTIC, 05:58,-3,0,3,0,9,82,48,18,1,3
Flight32, DOMESTIC, 05:56,-9,0,9,0,9,122,33,22,7,7
Flight33, DOMESTIC, 05:45,-2,0,2,0,1,82,36,20,8,4
Flight34, DOMESTIC, 05:54,-8,0,8,0,1,147,46,10,8,1
Flight35, DOMESTIC, 05:59,-5,0,5,0,9,117,35,7,7,7
Flight36, DOMESTIC, 05:24,-6,0,6,0,5,61,36,24,2,3
Flight37, DOMESTIC, 05:50,-10,0,10,0,6,121,34,13,6,9
Flight38, DOMESTIC, 05:06,-2,0,2,0,9,97,34,6,4,7
Flight39, DOMESTIC, 05:28,-10,0,10,0,1,132,43,5,1,8
