Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -9, 0, 9, 0, 1, 65, 42, 7, 8, 6
Flight2, DOMESTIC, 04:18, -3, 0, 3, 0, 5, 61, 42, 19, 1, 3
Flight3, DOMESTIC, 04:19, -1, 0, 1, 0, 4, 148, 33, 21, 2, 2
Flight4, DOMESTIC, 04:32, -6, 0, 6, 0, 3, 64, 41, 21, 4, 3
Flight5, DOMESTIC, 04:49, -8, 0, 8, 0, 3, 69, 45, 23, 1, 6
Flight6, DOMESTIC, 04:36, -3, 0, 3, 0, 3, 142, 48, 8, 7, 4
Flight7, DOMESTIC, 04:41, -7, 0, 7, 0, 5, 83, 35, 12, 7, 7
Flight8, DOMESTIC, 04:53, -5, 0, 5, 0, 9, 74, 49, 5, 1, 9
Flight9, DOMESTIC, 04:17, -6, 0, 6, 0, 8, 56, 44, 5, 2, 9
Flight10, DOMESTIC, 04:27, -8, 0, 8, 0, 4, 91, 41, 11, 9, 9
Flight11, DOMESTIC, 04:23, -8, 0, 8, 0, 8, 82, 36, 8, 3, 8
Flight12, DOMESTIC, 04:52, -8, 0, 8, 0, 8, 92, 33, 20, 9, 1
Flight13, DOMESTIC, 04:40, -3, 0, 3, 0, 8, 118, 44, 10, 8, 2
Flight14, DOMESTIC, 04:03, -3, 0, 3, 0, 3, 144, 28, 19, 1, 9
Flight15, DOMESTIC, 04:46, -6, 0, 6, 0, 2, 149, 38, 24, 1, 4
Flight16, DOMESTIC, 04:05, -8, 0, 8, 0, 7, 69, 41, 13, 9, 8
Flight17, DOMESTIC, 04:14, -8, 0, 8, 0, 7, 59, 30, 19, 1, 8
Flight18, DOMESTIC, 04:05, -2, 0, 2, 0, 8, 66, 30, 15, 1, 1
Flight19, DOMESTIC, 04:58, -8, 0, 8, 0, 4, 90, 34, 13, 4, 3
Flight20, DOMESTIC, 04:48, -2, 0, 2, 0, 7, 117, 46, 11, 3, 6
Flight21, DOMESTIC, 04:32, -4, 0, 4, 0, 3, 102, 27, 17, 9, 4
Flight22, DOMESTIC, 04:40, -1, 0, 1, 0, 1, 104, 29, 7, 2, 1
Flight23, DOMESTIC, 04:58, -3, 0, 3, 0, 6, 97, 45, 5, 8, 7
Flight24, DOMESTIC, 04:48, -2, 0, 2, 0, 9, 71, 35, 6, 9, 8
Flight25, DOMESTIC, 04:53, -6, 0, 6, 0, 2, 53, 38, 18, 8, 5
Flight26, DOMESTIC, 04:19, -3, 0, 3, 0, 5, 124, 48, 6, 9, 4
Flight27, DOMESTIC, 04:45, -2, 0, 2, 0, 6, 50, 25, 22, 4, 3
Flight28, DOMESTIC, 04:37, -1, 0, 1, 0, 7, 77, 49, 18, 3, 4
Flight29, DOMESTIC, 05:00, -10, 0, 10, 0, 2, 88, 41, 5, 7, 5
Flight30, DOMESTIC, 04:16, -1, 0, 1, 0, 8, 131, 32, 5, 1, 6
