Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:57,-4,0,4,0,7,56,40,6,6,2
Flight2, DOMESTIC, 04:42,-7,0,7,0,2,128,30,24,8,5
Flight3, DOMESTIC, 04:55,-7,0,7,0,8,131,42,18,8,8
Flight4, DOMESTIC, 04:02,-10,0,10,0,2,136,35,10,8,1
Flight5, DOMESTIC, 04:30,-4,0,4,0,9,96,25,17,8,7
Flight6, DOMESTIC, 04:14,-8,0,8,0,5,128,40,6,8,3
Flight7, DOMESTIC, 04:59,-7,0,7,0,9,119,34,16,3,2
Flight8, DOMESTIC, 04:57,-4,0,4,0,8,98,43,24,8,5
Flight9, DOMESTIC, 04:44,-5,0,5,0,7,93,39,6,5,1
Flight10, DOMESTIC, 04:35,-9,0,9,0,2,141,44,22,2,9
Flight11, DOMESTIC, 04:46,-9,0,9,0,3,88,29,24,1,7
Flight12, DOMESTIC, 04:20,-5,0,5,0,5,100,28,11,7,4
Flight13, DOMESTIC, 04:11,-3,0,3,0,1,84,34,8,2,4
Flight14, DOMESTIC, 04:07,-5,0,5,0,4,128,37,16,9,3
Flight15, DOMESTIC, 04:15,-6,0,6,0,5,115,31,24,8,6
Flight16, DOMESTIC, 04:49,-2,0,2,0,9,83,36,7,7,3
Flight17, DOMESTIC, 05:00,-5,0,5,0,6,72,27,5,6,7
Flight18, DOMESTIC, 04:52,-3,0,3,0,2,65,30,5,8,7
Flight19, DOMESTIC, 05:15,-2,0,2,0,2,92,25,5,4,2
Flight20, DOMESTIC, 04:56,-6,0,6,0,8,104,29,15,6,2
Flight21, DOMESTIC, 04:20,-1,0,1,0,3,124,25,23,9,6
Flight22, DOMESTIC, 04:36,-9,0,9,0,9,67,35,15,8,6
Flight23, DOMESTIC, 04:26,-4,0,4,0,6,95,37,17,2,8
Flight24, DOMESTIC, 04:23,-10,0,10,0,1,105,37,15,1,8
Flight25, DOMESTIC, 04:21,-5,0,5,0,5,127,41,13,1,3
Flight26, DOMESTIC, 04:44,-9,0,9,0,1,120,25,24,7,9
Flight27, DOMESTIC, 04:51,-4,0,4,0,3,125,28,8,9,9
Flight28, DOMESTIC, 04:50,-7,0,7,0,7,120,40,20,6,1
Flight29, DOMESTIC, 04:09,-4,0,4,0,8,121,49,11,1,1
Flight30, DOMESTIC, 04:42,-7,0,7,0,1,100,37,13,9,6
