Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:58, -3, 0, 3, 0, 9, 82, 48, 18, 1, 3
Flight2, DOMESTIC, 04:56, -9, 0, 9, 0, 9, 122, 33, 22, 7, 7
Flight3, DOMESTIC, 04:45, -2, 0, 2, 0, 1, 82, 36, 20, 8, 4
Flight4, DOMESTIC, 04:54, -8, 0, 8, 0, 1, 147, 46, 10, 8, 1
Flight5, DOMESTIC, 04:59, -5, 0, 5, 0, 9, 117, 35, 7, 7, 7
Flight6, DOMESTIC, 04:24, -6, 0, 6, 0, 5, 61, 36, 24, 2, 3
Flight7, DOMESTIC, 04:50, -10, 0, 10, 0, 6, 121, 34, 13, 6, 9
Flight8, DOMESTIC, 04:06, -2, 0, 2, 0, 9, 97, 34, 6, 4, 7
Flight9, DOMESTIC, 04:28, -10, 0, 10, 0, 1, 132, 43, 5, 1, 8
Flight10, DOMESTIC, 04:45, -6, 0, 6, 0, 4, 76, 46, 20, 8, 9
Flight11, DOMESTIC, 04:05, -5, 0, 5, 0, 5, 117, 27, 17, 7, 9
Flight12, DOMESTIC, 04:20, -5, 0, 5, 0, 1, 149, 49, 6, 2, 3
Flight13, DOMESTIC, 04:40, -3, 0, 3, 0, 2, 119, 38, 19, 2, 2
Flight14, DOMESTIC, 04:07, -5, 0, 5, 0, 1, 79, 27, 8, 8, 7
Flight15, DOMESTIC, 04:42, -2, 0, 2, 0, 5, 82, 38, 6, 9, 6
Flight16, DOMESTIC, 04:47, -5, 0, 5, 0, 9, 70, 26, 15, 4, 3
Flight17, DOMESTIC, 04:11, -4, 0, 4, 0, 4, 109, 25, 24, 1, 9
Flight18, DOMESTIC, 04:42, -5, 0, 5, 0, 8, 115, 25, 23, 9, 4
Flight19, DOMESTIC, 04:18, -1, 0, 1, 0, 8, 105, 35, 23, 7, 1
Flight20, DOMESTIC, 04:59, -6, 0, 6, 0, 5, 67, 49, 22, 8, 8
Flight21, DOMESTIC, 04:04, -7, 0, 7, 0, 1, 130, 42, 21, 9, 1
Flight22, DOMESTIC, 04:49, -7, 0, 7, 0, 4, 65, 45, 13, 3, 9
Flight23, DOMESTIC, 04:51, -8, 0, 8, 0, 2, 147, 29, 24, 9, 9
Flight24, DOMESTIC, 04:47, -9, 0, 9, 0, 6, 139, 35, 12, 4, 2
Flight25, DOMESTIC, 04:19, -3, 0, 3, 0, 2, 85, 35, 18, 3, 6
Flight26, DOMESTIC, 04:57, -3, 0, 3, 0, 7, 62, 40, 6, 3, 6
Flight27, DOMESTIC, 04:02, -10, 0, 10, 0, 1, 93, 49, 19, 8, 7
Flight28, DOMESTIC, 04:38, -4, 0, 4, 0, 8, 75, 44, 10, 1, 3
Flight29, DOMESTIC, 04:42, -8, 0, 8, 0, 8, 103, 43, 22, 2, 3
Flight30, DOMESTIC, 04:00, -5, 0, 5, 0, 1, 137, 44, 11, 6, 3
