Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -3, 0, 3, 0, 4, 94, 28, 24, 1, 8
Flight2, DOMESTIC, 04:14, -6, 0, 6, 0, 1, 83, 34, 13, 5, 3
Flight3, DOMESTIC, 04:46, -2, 0, 2, 0, 7, 88, 43, 16, 4, 4
Flight4, DOMESTIC, 04:30, -5, 0, 5, 0, 3, 50, 42, 7, 5, 4
Flight5, DOMESTIC, 04:09, -9, 0, 9, 0, 4, 52, 26, 18, 6, 9
Flight6, DOMESTIC, 04:12, -10, 0, 10, 0, 9, 82, 43, 19, 3, 6
Flight7, DOMESTIC, 04:34, -4, 0, 4, 0, 1, 144, 47, 11, 6, 5
Flight8, DOMESTIC, 04:34, -5, 0, 5, 0, 7, 66, 27, 24, 9, 6
Flight9, DOMESTIC, 04:24, -9, 0, 9, 0, 1, 141, 49, 10, 6, 8
Flight10, DOMESTIC, 04:45, -10, 0, 10, 0, 4, 73, 46, 6, 3, 1
Flight11, DOMESTIC, 04:46, -3, 0, 3, 0, 7, 107, 29, 18, 8, 5
Flight12, DOMESTIC, 04:16, -2, 0, 2, 0, 2, 88, 29, 5, 2, 6
Flight13, DOMESTIC, 04:20, -4, 0, 4, 0, 6, 52, 34, 21, 5, 5
Flight14, DOMESTIC, 04:41, -4, 0, 4, 0, 1, 84, 49, 22, 1, 9
Flight15, DOMESTIC, 04:00, -8, 0, 8, 0, 7, 52, 28, 13, 8, 3
Flight16, DOMESTIC, 04:00, -10, 0, 10, 0, 1, 73, 36, 23, 1, 7
Flight17, DOMESTIC, 04:10, -1, 0, 1, 0, 6, 131, 48, 13, 2, 3
Flight18, DOMESTIC, 04:18, -4, 0, 4, 0, 7, 147, 31, 9, 9, 3
Flight19, DOMESTIC, 04:07, -3, 0, 3, 0, 4, 88, 46, 8, 8, 7
Flight20, DOMESTIC, 04:04, -1, 0, 1, 0, 8, 69, 31, 10, 1, 2
Flight21, DOMESTIC, 04:43, -1, 0, 1, 0, 9, 91, 36, 23, 5, 4
Flight22, DOMESTIC, 04:51, -1, 0, 1, 0, 6, 67, 25, 23, 3, 4
Flight23, DOMESTIC, 04:30, -3, 0, 3, 0, 9, 149, 36, 24, 9, 1
Flight24, DOMESTIC, 04:31, -5, 0, 5, 0, 9, 142, 38, 8, 7, 4
Flight25, DOMESTIC, 04:45, -6, 0, 6, 0, 8, 102, 40, 19, 5, 3
Flight26, DOMESTIC, 04:40, -3, 0, 3, 0, 2, 72, 48, 21, 8, 7
Flight27, DOMESTIC, 04:00, -5, 0, 5, 0, 6, 52, 42, 20, 3, 2
Flight28, DOMESTIC, 04:36, -4, 0, 4, 0, 3, 128, 32, 20, 7, 1
Flight29, DOMESTIC, 04:57, -7, 0, 7, 0, 6, 66, 48, 17, 9, 7
Flight30, DOMESTIC, 04:33, -3, 0, 3, 0, 3, 148, 44, 9, 6, 5
