Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:57, -10, 0, 10, 0, 5, 126, 29, 9, 3, 9
Flight2, DOMESTIC, 04:47, -4, 0, 4, 0, 7, 107, 38, 10, 4, 4
Flight3, DOMESTIC, 04:28, -7, 0, 7, 0, 5, 91, 31, 23, 7, 6
Flight4, DOMESTIC, 04:04, -2, 0, 2, 0, 2, 50, 34, 24, 7, 9
Flight5, DOMESTIC, 04:10, -3, 0, 3, 0, 8, 113, 43, 23, 2, 4
Flight6, DOMESTIC, 04:37, -2, 0, 2, 0, 8, 88, 45, 15, 3, 1
Flight7, DOMESTIC, 04:07, -2, 0, 2, 0, 4, 57, 47, 17, 4, 5
Flight8, DOMESTIC, 04:15, -5, 0, 5, 0, 1, 107, 39, 6, 9, 8
Flight9, DOMESTIC, 04:37, -2, 0, 2, 0, 5, 108, 35, 21, 9, 2
Flight10, DOMESTIC, 04:17, -7, 0, 7, 0, 2, 59, 39, 8, 7, 9
Flight11, DOMESTIC, 04:23, -5, 0, 5, 0, 5, 63, 35, 14, 4, 1
Flight12, DOMESTIC, 04:55, -2, 0, 2, 0, 2, 104, 33, 6, 5, 8
Flight13, DOMESTIC, 04:32, -2, 0, 2, 0, 3, 50, 44, 16, 4, 1
Flight14, DOMESTIC, 04:28, -5, 0, 5, 0, 5, 89, 40, 13, 1, 4
Flight15, DOMESTIC, 04:00, -4, 0, 4, 0, 9, 112, 41, 14, 9, 6
Flight16, DOMESTIC, 04:54, -9, 0, 9, 0, 5, 79, 41, 17, 7, 4
Flight17, DOMESTIC, 04:03, -3, 0, 3, 0, 7, 99, 35, 10, 4, 3
Flight18, DOMESTIC, 04:39, -1, 0, 1, 0, 3, 84, 29, 10, 9, 6
Flight19, DOMESTIC, 04:05, -8, 0, 8, 0, 3, 94, 38, 9, 9, 7
Flight20, DOMESTIC, 04:39, -7, 0, 7, 0, 7, 52, 43, 16, 8, 6
Flight21, DOMESTIC, 04:10, -4, 0, 4, 0, 7, 135, 41, 17, 4, 6
Flight22, DOMESTIC, 04:25, -9, 0, 9, 0, 3, 104, 40, 19, 6, 4
Flight23, DOMESTIC, 04:54, -5, 0, 5, 0, 3, 143, 46, 17, 1, 5
Flight24, DOMESTIC, 04:40, -8, 0, 8, 0, 2, 135, 35, 13, 3, 3
Flight25, DOMESTIC, 04:29, -5, 0, 5, 0, 7, 78, 39, 12, 5, 5
Flight26, DOMESTIC, 04:24, -9, 0, 9, 0, 4, 72, 25, 9, 7, 6
Flight27, DOMESTIC, 04:36, -10, 0, 10, 0, 3, 122, 35, 10, 1, 1
Flight28, DOMESTIC, 04:52, -4, 0, 4, 0, 2, 68, 32, 18, 2, 3
Flight29, DOMESTIC, 04:12, -7, 0, 7, 0, 4, 142, 41, 19, 8, 8
Flight30, DOMESTIC, 04:25, -4, 0, 4, 0, 6, 82, 26, 9, 4, 7
