Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -4, 0, 4, 0, 7, 108, 27, 11, 9, 1
Flight2, DOMESTIC, 04:02, -8, 0, 8, 0, 3, 50, 32, 23, 7, 4
Flight3, DOMESTIC, 04:10, -6, 0, 6, 0, 4, 56, 36, 5, 2, 2
Flight4, DOMESTIC, 04:07, -6, 0, 6, 0, 8, 116, 29, 24, 6, 7
Flight5, DOMESTIC, 04:22, -2, 0, 2, 0, 9, 108, 26, 9, 7, 3
Flight6, DOMESTIC, 04:26, -9, 0, 9, 0, 4, 103, 43, 6, 3, 6
Flight7, DOMESTIC, 04:57, -10, 0, 10, 0, 9, 105, 40, 8, 3, 4
Flight8, DOMESTIC, 04:19, -6, 0, 6, 0, 8, 128, 32, 8, 8, 3
Flight9, DOMESTIC, 04:23, -6, 0, 6, 0, 6, 132, 33, 19, 4, 1
Flight10, DOMESTIC, 04:07, -4, 0, 4, 0, 7, 92, 29, 10, 7, 8
Flight11, DOMESTIC, 04:07, -8, 0, 8, 0, 4, 144, 31, 12, 5, 2
Flight12, DOMESTIC, 04:23, -8, 0, 8, 0, 3, 70, 48, 5, 9, 8
Flight13, DOMESTIC, 04:16, -7, 0, 7, 0, 6, 109, 45, 9, 4, 8
Flight14, DOMESTIC, 04:12, -2, 0, 2, 0, 2, 52, 29, 8, 8, 1
Flight15, DOMESTIC, 04:59, -7, 0, 7, 0, 1, 131, 25, 21, 7, 4
Flight16, DOMESTIC, 04:40, -6, 0, 6, 0, 3, 85, 28, 8, 9, 5
Flight17, DOMESTIC, 04:00, -6, 0, 6, 0, 7, 111, 32, 16, 8, 7
Flight18, DOMESTIC, 04:19, -7, 0, 7, 0, 4, 128, 36, 13, 3, 2
Flight19, DOMESTIC, 04:49, -8, 0, 8, 0, 6, 64, 34, 7, 9, 9
Flight20, DOMESTIC, 04:01, -4, 0, 4, 0, 8, 114, 45, 17, 1, 3
Flight21, DOMESTIC, 04:19, -8, 0, 8, 0, 6, 148, 45, 10, 2, 7
Flight22, DOMESTIC, 04:55, -10, 0, 10, 0, 9, 132, 25, 14, 5, 3
Flight23, DOMESTIC, 04:30, -3, 0, 3, 0, 8, 129, 49, 6, 8, 5
Flight24, DOMESTIC, 04:18, -9, 0, 9, 0, 8, 50, 28, 20, 4, 5
Flight25, DOMESTIC, 04:46, -2, 0, 2, 0, 8, 88, 41, 17, 7, 9
Flight26, DOMESTIC, 04:36, -2, 0, 2, 0, 4, 111, 28, 11, 4, 6
Flight27, DOMESTIC, 04:43, -9, 0, 9, 0, 9, 130, 30, 23, 4, 4
Flight28, DOMESTIC, 04:25, -4, 0, 4, 0, 6, 105, 35, 19, 4, 3
Flight29, DOMESTIC, 04:35, -3, 0, 3, 0, 9, 69, 41, 17, 2, 6
Flight30, DOMESTIC, 04:40, -2, 0, 2, 0, 2, 116, 44, 9, 7, 4
