Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -3, 0, 3, 0, 4, 119, 29, 19, 2, 2
Flight2, DOMESTIC, 04:53, -7, 0, 7, 0, 1, 144, 39, 18, 8, 4
Flight3, DOMESTIC, 04:51, -9, 0, 9, 0, 2, 51, 37, 5, 1, 4
Flight4, DOMESTIC, 04:51, -5, 0, 5, 0, 6, 137, 39, 11, 9, 8
Flight5, DOMESTIC, 04:23, -6, 0, 6, 0, 5, 69, 43, 12, 6, 5
Flight6, DOMESTIC, 04:18, -8, 0, 8, 0, 7, 75, 30, 17, 7, 7
Flight7, DOMESTIC, 04:25, -2, 0, 2, 0, 2, 101, 44, 15, 5, 2
Flight8, DOMESTIC, 04:55, -3, 0, 3, 0, 2, 129, 28, 6, 9, 1
Flight9, DOMESTIC, 04:49, -6, 0, 6, 0, 3, 135, 30, 6, 1, 7
Flight10, DOMESTIC, 04:37, -8, 0, 8, 0, 3, 141, 25, 17, 4, 2
Flight11, DOMESTIC, 04:34, -2, 0, 2, 0, 6, 126, 46, 8, 2, 2
Flight12, DOMESTIC, 04:57, -4, 0, 4, 0, 7, 69, 44, 5, 9, 6
Flight13, DOMESTIC, 04:54, -8, 0, 8, 0, 4, 128, 33, 11, 6, 9
Flight14, DOMESTIC, 04:15, -4, 0, 4, 0, 2, 147, 46, 22, 3, 3
Flight15, DOMESTIC, 04:44, -8, 0, 8, 0, 7, 132, 43, 21, 6, 4
Flight16, DOMESTIC, 04:33, -9, 0, 9, 0, 7, 138, 25, 15, 6, 2
Flight17, DOMESTIC, 04:42, -7, 0, 7, 0, 6, 71, 34, 7, 5, 8
Flight18, DOMESTIC, 04:28, -8, 0, 8, 0, 9, 72, 42, 21, 9, 4
Flight19, DOMESTIC, 05:00, -4, 0, 4, 0, 8, 131, 33, 22, 9, 2
Flight20, DOMESTIC, 04:23, -9, 0, 9, 0, 1, 130, 31, 13, 2, 1
Flight21, DOMESTIC, 04:19, -1, 0, 1, 0, 2, 73, 42, 16, 1, 4
Flight22, DOMESTIC, 04:25, -9, 0, 9, 0, 9, 110, 46, 22, 1, 7
Flight23, DOMESTIC, 04:20, -6, 0, 6, 0, 5, 65, 43, 10, 6, 8
Flight24, DOMESTIC, 04:00, -2, 0, 2, 0, 8, 57, 38, 6, 2, 9
Flight25, DOMESTIC, 04:06, -8, 0, 8, 0, 5, 128, 27, 23, 5, 6
Flight26, DOMESTIC, 04:54, -7, 0, 7, 0, 7, 132, 32, 9, 1, 5
Flight27, DOMESTIC, 04:43, -5, 0, 5, 0, 9, 134, 48, 14, 5, 1
Flight28, DOMESTIC, 04:39, -10, 0, 10, 0, 3, 53, 34, 6, 2, 9
Flight29, DOMESTIC, 04:01, -3, 0, 3, 0, 7, 111, 28, 11, 3, 5
Flight30, DOMESTIC, 04:54, -5, 0, 5, 0, 2, 66, 41, 15, 6, 6
